Original Text,BERT Tokens,BERT Token IDs,GPT-2 Tokens,GPT-2 Token IDs
"Large Language Models (LLMs) are advanced AI systems built on deep neural networks designed to process, understand and generate human-like text.","large language models ( ll ##ms ) are advanced ai systems built on deep neural networks designed to process , understand and generate human - like text .","[2312, 2653, 4275, 1006, 2222, 5244, 1007, 2024, 3935, 9932, 3001, 2328, 2006, 2784, 15756, 6125, 2881, 2000, 2832, 1010, 3305, 1998, 9699, 2529, 1011, 2066, 3793, 1012]","Large ĠLanguage ĠModels Ġ( LL Ms ) Ġare Ġadvanced ĠAI Ġsystems Ġbuilt Ġon Ġdeep Ġneural Ġnetworks Ġdesigned Ġto Ġprocess , Ġunderstand Ġand Ġgenerate Ġhuman - like Ġtext .","[21968, 15417, 32329, 357, 3069, 10128, 8, 389, 6190, 9552, 3341, 3170, 319, 2769, 17019, 7686, 3562, 284, 1429, 11, 1833, 290, 7716, 1692, 12, 2339, 2420, 13]"
"LLMs Learn patterns, grammar and context from text and can answer questions, write content, translate languages and many more.","ll ##ms learn patterns , grammar and context from text and can answer questions , write content , translate languages and many more .","[2222, 5244, 4553, 7060, 1010, 8035, 1998, 6123, 2013, 3793, 1998, 2064, 3437, 3980, 1010, 4339, 4180, 1010, 17637, 4155, 1998, 2116, 2062, 1012]","LL Ms ĠLearn Ġpatterns , Ġgrammar Ġand Ġcontext Ġfrom Ġtext Ġand Ġcan Ġanswer Ġquestions , Ġwrite Ġcontent , Ġtranslate Ġlanguages Ġand Ġmany Ġmore .","[3069, 10128, 14365, 7572, 11, 23491, 290, 4732, 422, 2420, 290, 460, 3280, 2683, 11, 3551, 2695, 11, 15772, 8950, 290, 867, 517, 13]"
"By using massive datasets and billions of parameters, LLMs have transformed the way humans interact with technology.","by using massive data ##set ##s and billions of parameters , ll ##ms have transformed the way humans interact with technology .","[2011, 2478, 5294, 2951, 13462, 2015, 1998, 25501, 1997, 11709, 1010, 2222, 5244, 2031, 8590, 1996, 2126, 4286, 11835, 2007, 2974, 1012]","By Ġusing Ġmassive Ġdatasets Ġand Ġbillions Ġof Ġparameters , ĠLL Ms Ġhave Ġtransformed Ġthe Ġway Ġhumans Ġinteract Ġwith Ġtechnology .","[3886, 1262, 4858, 40522, 290, 13188, 286, 10007, 11, 27140, 10128, 423, 14434, 262, 835, 5384, 9427, 351, 3037, 13]"
"Modern LLMs include ChatGPT (OpenAI), Google Gemini, Anthropic Claude, etc.","modern ll ##ms include chat ##gp ##t ( open ##ai ) , google gemini , ant ##hr ##op ##ic claude , etc .","[2715, 2222, 5244, 2421, 11834, 21600, 2102, 1006, 2330, 4886, 1007, 1010, 8224, 21424, 1010, 14405, 8093, 7361, 2594, 8149, 1010, 4385, 1012]","Modern ĠLL Ms Ġinclude ĠChat G PT Ġ( Open AI ), ĠGoogle ĠGemini , ĠAnthrop ic ĠClaude , Ġetc .","[31439, 27140, 10128, 2291, 24101, 38, 11571, 357, 11505, 20185, 828, 3012, 35495, 11, 32898, 291, 40559, 11, 3503, 13]"
LLM,ll ##m,"[2222, 2213]",LL M,"[3069, 44]"
Working of LLM,working of ll ##m,"[2551, 1997, 2222, 2213]",Working Ġof ĠLL M,"[28516, 286, 27140, 44]"
"LLMs are primarily based on the Transformer architecture which enables them to learn long range dependencies and contextual meaning in text. At a high level, they work through","ll ##ms are primarily based on the transform ##er architecture which enables them to learn long range depend ##encies and context ##ual meaning in text . at a high level , they work through","[2222, 5244, 2024, 3952, 2241, 2006, 1996, 10938, 2121, 4294, 2029, 12939, 2068, 2000, 4553, 2146, 2846, 12530, 15266, 1998, 6123, 8787, 3574, 1999, 3793, 1012, 2012, 1037, 2152, 2504, 1010, 2027, 2147, 2083]","LL Ms Ġare Ġprimarily Ġbased Ġon Ġthe Âł Trans former Âł arch itect ure Ġwhich Ġenables Ġthem Ġto Ġlearn Ġlong Ġrange Ġdependencies Ġand Ġcontextual Ġmeaning Ġin Ġtext . ĠAt Ġa Ġhigh Ġlevel , Ġthey Ġwork Ġthrough","[3069, 10128, 389, 7525, 1912, 319, 262, 1849, 8291, 16354, 1849, 998, 5712, 495, 543, 13536, 606, 284, 2193, 890, 2837, 20086, 290, 38356, 3616, 287, 2420, 13, 1629, 257, 1029, 1241, 11, 484, 670, 832]"
Working,working,[2551],Working,[28516]
Input Embeddings: Converting text into numerical vectors.,input em ##bed ##ding ##s : converting text into numerical vectors .,"[7953, 7861, 8270, 4667, 2015, 1024, 16401, 3793, 2046, 15973, 19019, 1012]",Input ĠEmb edd ings : ĠConver ting Ġtext Ġinto Ġnumerical Ġvectors .,"[20560, 13302, 6048, 654, 25, 35602, 889, 2420, 656, 29052, 30104, 13]"
Positional Encoding: Adding sequence/order information.,position ##al encoding : adding sequence / order information .,"[2597, 2389, 17181, 1024, 5815, 5537, 1013, 2344, 2592, 1012]",Pos itional ĠEnc oding : ĠAdding Ġsequence / order Ġinformation .,"[21604, 1859, 14711, 7656, 25, 18247, 8379, 14, 2875, 1321, 13]"
Self-Attention: Understanding relationships between words in context.,self - attention : understanding relationships between words in context .,"[2969, 1011, 3086, 1024, 4824, 6550, 2090, 2616, 1999, 6123, 1012]",Self - Att ention : Âł Understanding Ġrelationships Ġbetween Ġwords Ġin Ġcontext .,"[24704, 12, 8086, 1463, 25, 1849, 43467, 6958, 1022, 2456, 287, 4732, 13]"
Feed-Forward Layers: Capturing complex patterns.,feed - forward layers : capturing complex patterns .,"[5438, 1011, 2830, 9014, 1024, 11847, 3375, 7060, 1012]",Feed - Forward ĠL ayers : ĠCapt uring Ġcomplex Ġpatterns .,"[18332, 12, 39746, 406, 6962, 25, 6790, 870, 3716, 7572, 13]"
Decoding: Generating responses step by step.,deco ##ding : generating responses step by step .,"[21933, 4667, 1024, 11717, 10960, 3357, 2011, 3357, 1012]",Dec oding : Âł Gener ating Ġresponses Ġstep Ġby Ġstep .,"[10707, 7656, 25, 1849, 8645, 803, 9109, 2239, 416, 2239, 13]"
Multi-Head Attention: Parallel reasoning over multiple relationships.,multi - head attention : parallel reasoning over multiple relationships .,"[4800, 1011, 2132, 3086, 1024, 5903, 13384, 2058, 3674, 6550, 1012]",Multi - Head ĠAttention : ĠParallel Ġreasoning Ġover Ġmultiple Ġrelationships .,"[29800, 12, 13847, 47406, 25, 42945, 14607, 625, 3294, 6958, 13]"
Popular LLMs,popular ll ##ms,"[2759, 2222, 5244]",Pop ular ĠLL Ms,"[16979, 934, 27140, 10128]"
GPT-4 and GPT-4o (OpenAI): Advanced multimodal reasoning and dialogue capabilities.,gp ##t - 4 and gp ##t - 4 ##o ( open ##ai ) : advanced multi ##mo ##dal reasoning and dialogue capabilities .,"[14246, 2102, 1011, 1018, 1998, 14246, 2102, 1011, 1018, 2080, 1006, 2330, 4886, 1007, 1024, 3935, 4800, 5302, 9305, 13384, 1998, 7982, 9859, 1012]",G PT - 4 Ġand Âł G PT - 4 o Âł ( Open AI ): ĠAdvanced Ġmultim od al Ġreasoning Ġand Ġdialogue Ġcapabilities .,"[38, 11571, 12, 19, 290, 1849, 38, 11571, 12, 19, 78, 1849, 7, 11505, 20185, 2599, 13435, 43104, 375, 282, 14607, 290, 10721, 9889, 13]"
"Gemini 1.5 (Google DeepMind): Long-context reasoning, capable of handling 1M+ tokens.","gemini 1 . 5 ( google deep ##mind ) : long - context reasoning , capable of handling 1 ##m + token ##s .","[21424, 1015, 1012, 1019, 1006, 8224, 2784, 23356, 1007, 1024, 2146, 1011, 6123, 13384, 1010, 5214, 1997, 8304, 1015, 2213, 1009, 19204, 2015, 1012]","G em ini Ġ1 . 5 Âł ( Google ĠDeep Mind ): ĠLong - context Ġreasoning , Ġcapable Ġof Ġhandling Ġ1 M + Ġtokens .","[38, 368, 5362, 352, 13, 20, 1849, 7, 11708, 10766, 28478, 2599, 5882, 12, 22866, 14607, 11, 6007, 286, 9041, 352, 44, 10, 16326, 13]"
