Original Text,BERT Tokens,GPT-2 Tokens,BERT Count,GPT-2 Count
"Large Language Models (LLMs) are advanced AI systems built on deep neural networks designed to process, understand and generate human-like text.","large language models ( ll ##ms ) are advanced ai systems built on deep neural networks designed to process , understand and generate human - like text .","Large ĠLanguage ĠModels Ġ( LL Ms ) Ġare Ġadvanced ĠAI Ġsystems Ġbuilt Ġon Ġdeep Ġneural Ġnetworks Ġdesigned Ġto Ġprocess , Ġunderstand Ġand Ġgenerate Ġhuman - like Ġtext .",28,28
"LLMs Learn patterns, grammar and context from text and can answer questions, write content, translate languages and many more.","ll ##ms learn patterns , grammar and context from text and can answer questions , write content , translate languages and many more .","LL Ms ĠLearn Ġpatterns , Ġgrammar Ġand Ġcontext Ġfrom Ġtext Ġand Ġcan Ġanswer Ġquestions , Ġwrite Ġcontent , Ġtranslate Ġlanguages Ġand Ġmany Ġmore .",24,24
"By using massive datasets and billions of parameters, LLMs have transformed the way humans interact with technology.","by using massive data ##set ##s and billions of parameters , ll ##ms have transformed the way humans interact with technology .","By Ġusing Ġmassive Ġdatasets Ġand Ġbillions Ġof Ġparameters , ĠLL Ms Ġhave Ġtransformed Ġthe Ġway Ġhumans Ġinteract Ġwith Ġtechnology .",22,20
"Modern LLMs include ChatGPT (OpenAI), Google Gemini, Anthropic Claude, etc.","modern ll ##ms include chat ##gp ##t ( open ##ai ) , google gemini , ant ##hr ##op ##ic claude , etc .","Modern ĠLL Ms Ġinclude ĠChat G PT Ġ( Open AI ), ĠGoogle ĠGemini , ĠAnthrop ic ĠClaude , Ġetc .",23,20
LLM,ll ##m,LL M,2,2
Working of LLM,working of ll ##m,Working Ġof ĠLL M,4,4
"LLMs are primarily based on the Transformer architecture which enables them to learn long range dependencies and contextual meaning in text. At a high level, they work through","ll ##ms are primarily based on the transform ##er architecture which enables them to learn long range depend ##encies and context ##ual meaning in text . at a high level , they work through","LL Ms Ġare Ġprimarily Ġbased Ġon Ġthe Âł Trans former Âł arch itect ure Ġwhich Ġenables Ġthem Ġto Ġlearn Ġlong Ġrange Ġdependencies Ġand Ġcontextual Ġmeaning Ġin Ġtext . ĠAt Ġa Ġhigh Ġlevel , Ġthey Ġwork Ġthrough",34,36
Working,working,Working,1,1
Input Embeddings: Converting text into numerical vectors.,input em ##bed ##ding ##s : converting text into numerical vectors .,Input ĠEmb edd ings : ĠConver ting Ġtext Ġinto Ġnumerical Ġvectors .,12,12
Positional Encoding: Adding sequence/order information.,position ##al encoding : adding sequence / order information .,Pos itional ĠEnc oding : ĠAdding Ġsequence / order Ġinformation .,10,11
Self-Attention: Understanding relationships between words in context.,self - attention : understanding relationships between words in context .,Self - Att ention : Âł Understanding Ġrelationships Ġbetween Ġwords Ġin Ġcontext .,11,13
Feed-Forward Layers: Capturing complex patterns.,feed - forward layers : capturing complex patterns .,Feed - Forward ĠL ayers : ĠCapt uring Ġcomplex Ġpatterns .,9,11
Decoding: Generating responses step by step.,deco ##ding : generating responses step by step .,Dec oding : Âł Gener ating Ġresponses Ġstep Ġby Ġstep .,9,11
Multi-Head Attention: Parallel reasoning over multiple relationships.,multi - head attention : parallel reasoning over multiple relationships .,Multi - Head ĠAttention : ĠParallel Ġreasoning Ġover Ġmultiple Ġrelationships .,11,11
Popular LLMs,popular ll ##ms,Pop ular ĠLL Ms,3,4
GPT-4 and GPT-4o (OpenAI): Advanced multimodal reasoning and dialogue capabilities.,gp ##t - 4 and gp ##t - 4 ##o ( open ##ai ) : advanced multi ##mo ##dal reasoning and dialogue capabilities .,G PT - 4 Ġand Âł G PT - 4 o Âł ( Open AI ): ĠAdvanced Ġmultim od al Ġreasoning Ġand Ġdialogue Ġcapabilities .,24,25
